unique words	median word length	english percent	full text path	original path
1135	6	0.9550661	f/f93bc99c.txt	https://onbeing.org/programs/david-isay-listening-as-an-act-of-love
1348	7	0.94807124	e/eec1dac6.txt	https://onbeing.org/programs/david-montgomery-reading-the-rocks-flood-stories-and-deep-time
1073	6	0.9534017	f/f1ae5cd9.txt	https://onbeing.org/programs/david-steindl-rast-anatomy-of-gratitude
1386	7	0.95815295	b/b3b5e8b0.txt	https://onbeing.org/programs/david-sloan-wilson-evolving-a-city
1249	6	0.94715774	d/d56d7b90.txt	https://onbeing.org/programs/david-treuer-language-and-meaning-an-ojibwe-story
1253	6	0.9584996	d/d57e2ca2.txt	https://onbeing.org/programs/david-whyte-the-conversational-nature-of-reality
1107	7	0.9620596	a/aa117d41.txt	https://onbeing.org/programs/desmond-tutu-a-god-of-surprises
1316	6	0.9559271	a/a7b49c59.txt	https://onbeing.org/programs/debbie-morris-helen-prejean-and-elie-spitz-reflections-on-the-death-penalty-in-america
1359	6	0.95069903	7/776f306d.txt	https://onbeing.org/programs/diane-winston-tv-and-parables-of-our-time
1210	6	0.9413223	c/cca2d77d.txt	https://onbeing.org/programs/diane-winston-monsters-we-love-tvs-pop-culture-theodicy
1106	6	0.95027125	2/230ec35c.txt	https://onbeing.org/programs/doris-taylor-stem-cells-untold-stories
1557	7	0.94219655	b/b5eca718.txt	https://onbeing.org/programs/douglas-johnston-diplomacy-and-religion-in-the-21st-century
1280	7	0.9585937	e/ebb3574e.txt	https://onbeing.org/programs/don-saliers-and-edward-foley-the-meaning-of-communion-at-the-table
1357	6	0.95283717	4/44f1058b.txt	https://onbeing.org/programs/e-ethelbert-miller-black-and-universal
1513	7	0.95836085	6/66a0720b.txt	https://onbeing.org/programs/dr-oz-heart-and-soul
1582	7	0.9310999	a/a790ddb6.txt	https://onbeing.org/programs/ed-husain-reflections-of-a-former-islamist-extremist
1101	7	0.9627611	f/f59c3f64.txt	https://onbeing.org/programs/eckhart-tolle-the-power-of-now
1474	6	0.9294437	c/c38260f5.txt	https://onbeing.org/programs/eboo-patel-religious-passion-pluralism-and-the-young
1212	6	0.9521452	4/42cb8369.txt	https://onbeing.org/programs/elie-wiesel-the-tragedy-of-the-believer
